"","occurrence_no","record_type","reid_no","collection_no","taxon_name","taxon_rank","taxon_no","matched_name","matched_rank","matched_no","early_interval","early_age","late_age","reference_no","lng","lat","genus","genus_no","family","family_no","order","order_no","class","class_no","phylum","phylum_no","genus_name","species_name","species_reso","genus_reso","late_interval"
"1:232",739174,"occurrence",NA,47195,"Daspletosaurus sp.","genus",38608,"Daspletosaurus","genus",38608,"Late Campanian",83.5,70.6,"26639;26639",-108.084167,36.343887,"Daspletosaurus",38608,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Daspletosaurus","sp.",NA,NA,NA
"1:233",790052,"occurrence",NA,85498,"Tyrannosauridae indet.","family",38606,"Tyrannosauridae","family",38606,"Maastrichtian",72.1,66,"28887;28887",-106.896561,47.613911,NA,NA,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosauridae","indet.",NA,NA,NA
"1:234",790075,"occurrence",NA,85499,"Tyrannosauridae indet.","family",38606,"Tyrannosauridae","family",38606,"Maastrichtian",72.1,66,"28887;28887",-106.896561,47.613911,NA,NA,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosauridae","indet.",NA,NA,NA
"1:235",796416,"occurrence",NA,86529,"Tyrannosauridae indet.","family",38606,"Tyrannosauridae","family",38606,"Late Maastrichtian",70.6,66,"29157;29157",177.125,62.901669,NA,NA,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosauridae","indet.",NA,NA,NA
"1:236",811348,"occurrence",NA,88990,"Tyrannosaurus sp.","genus",38613,"Tyrannosaurus","genus",38613,"Late Maastrichtian",70.6,66,"29831;29831",-104.891388,45.730145,"Tyrannosaurus",38613,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosaurus","sp.",NA,NA,NA
"1:237",812410,"occurrence",NA,45679,"Albertosaurus sp.","genus",38607,"Albertosaurus","genus",38607,"Maastrichtian",72.1,66,"29954;29954",-90.027779,37.31778,"Albertosaurus",38607,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Albertosaurus","sp.",NA,NA,NA
"1:238",814073,"occurrence",NA,89604,"Tyrannosauridae indet.","family",38606,"Tyrannosauridae","family",38606,"Late Campanian",83.5,70.6,"30044;30044",-118.510719,55.260429,NA,NA,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosauridae","indet.",NA,NA,NA
"1:239",814079,"occurrence",NA,89605,"Tyrannosauridae indet.","family",38606,"Tyrannosauridae","family",38606,"Late Campanian",83.5,70.6,"30044;30044",-118.512512,55.254459,NA,NA,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosauridae","indet.",NA,NA,NA
"1:240",814092,"occurrence",NA,89606,"Tyrannosauridae indet.","family",38606,"Tyrannosauridae","family",38606,"Late Campanian",83.5,70.6,"30044;30044",-118.510208,55.251717,NA,NA,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosauridae","indet.",NA,NA,NA
"1:241",825967,"occurrence",NA,46163,"Albertosaurus cf. sp.","genus",38607,"Albertosaurus","genus",38607,"Late Campanian",83.5,70.6,"30640;30640",-109.614967,31.07819,"Albertosaurus",38607,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Albertosaurus","sp.",NA,"cf.",NA
