"","occurrence_no","record_type","collection_no","taxon_name","taxon_rank","taxon_no","matched_name","matched_rank","matched_no","early_interval","early_age","late_age","reference_no","lng","lat","family","family_no","order","order_no","class","class_no","phylum","phylum_no","genus_name","species_name","genus","genus_no","reid_no","genus_reso","late_interval","species_reso"
"1:598",1092985,"occurrence",137577,"Deinonychus antirrhopus","species",54555,"Deinonychus antirrhopus","species",54555,"Aptian",125,100.5,"44000;44000",-107.822037,44.499119,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Deinonychus","antirrhopus","Deinonychus",38562,NA,NA,"Albian",NA
"1:599",1093005,"occurrence",137590,"Dromaeosauridae indet.","family",38561,"Dromaeosauridae","family",38561,"Late Albian",105.3,93.9,"44003;44003",-112.59861,44.537224,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Dromaeosauridae","indet.",NA,NA,NA,NA,"Cenomanian",NA
"1:600",1093070,"occurrence",137604,"Deinonychus antirrhopus","species",54555,"Deinonychus antirrhopus","species",54555,"Aptian",125,100.5,"44000;44000",-108.311668,44.828888,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Deinonychus","antirrhopus","Deinonychus",38562,NA,NA,"Albian",NA
"1:601",1093086,"occurrence",137607,"Deinonychus antirrhopus","species",54555,"Deinonychus antirrhopus","species",54555,"Aptian",125,113,"44000;44000",-108.805275,45.19278,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Deinonychus","antirrhopus","Deinonychus",38562,NA,NA,NA,NA
"1:602",1093113,"occurrence",137611,"Deinonychus antirrhopus","species",54555,"Deinonychus antirrhopus","species",54555,"Aptian",125,113,"44000;44000",-108.802223,45.192501,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Deinonychus","antirrhopus","Deinonychus",38562,NA,NA,NA,NA
"1:603",1098991,"occurrence",68019,"Dromaeosauridae indet.","family",38561,"Dromaeosauridae","family",38561,"Tithonian",152.1,140.2,"44510;44510",-1.133307,40.12727,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Dromaeosauridae","indet.",NA,NA,NA,NA,"Early Berriasian",NA
"1:604",1098993,"occurrence",85291,"Dromaeosauridae indet.","family",38561,"Dromaeosauridae","family",38561,"Middle Tithonian",150.8,140.2,"44510;44510",-1.15,40.116699,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Dromaeosauridae","indet.",NA,NA,NA,NA,"Early Berriasian",NA
"1:605",1114590,"occurrence",141307,"Dromaeosauridae cf. indet.","family",38561,"Dromaeosauridae","family",38561,"Early Cenomanian",99.6,93.5,"45953;45953",-3.855,30.905001,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Dromaeosauridae","indet.",NA,NA,NA,"cf.",NA,NA
"1:606",1116593,"occurrence",141578,"Austroraptor cabazai","species",138548,"Austroraptor cabazai","species",138548,"Late Campanian",83.5,66,"46024;46024",-66.591393,-39.918056,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Austroraptor","cabazai","Austroraptor",138547,NA,NA,"Early Maastrichtian",NA
"1:607",1126052,"occurrence",59410,"Velociraptorinae indet.","subfamily",54553,"Velociraptorinae","subfamily",54553,"Late Campanian",83.5,66,"46349;46349",22.916668,45.549999,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Velociraptorinae","indet.",NA,NA,NA,NA,"Early Maastrichtian",NA
